2036,albania,May 1,Monday,Labour Day/May Day,National holiday
2036,albania,Jun 18,Sunday,Fathers' Day,Observance
2036,albania,Jun 21,Wednesday,June Solstice,Season
2036,albania,Jun 26,Monday,End of Ramadan (Eid al-Fitr),National holiday
2036,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2036,albania,Sep 22,Friday,September equinox,Season
2036,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2036,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2036,albania,Oct 31,Tuesday,Halloween,Observance
2036,albania,Nov 28,Tuesday,Independence Day,National holiday
2036,albania,Nov 29,Wednesday,Liberation Day,National holiday
2036,albania,Dec 8,Friday,National Youth Day,National holiday
2036,albania,Dec 21,Thursday,December Solstice,Season
2036,albania,Dec 24,Sunday,Christmas Eve,Observance
2036,albania,Dec 25,Monday,Christmas Day,National holiday
2036,albania,Dec 31,Sunday,New Year's Eve,Observance
2037,albania,Date,Weekday,Holiday Name,Holiday Type
2037,albania
2037,albania,Jan 1,Sunday,New Year's Day,National holiday
2037,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2037,albania,Feb 14,Tuesday,Valentine's Day,Observance
2037,albania,Mar 8,Wednesday,Mothers' Day,Observance
2037,albania,Mar 14,Tuesday,Summer Day,National holiday
2037,albania,Mar 20,Monday,March equinox,Season
2037,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2037,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2037,albania,Apr 14,Friday,Good Friday,Observance
2037,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2037,albania,Apr 15,Saturday,Holy Saturday,Observance
2037,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2037,albania,Apr 16,Sunday,Easter Sunday,National holiday
2037,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2037,albania,Apr 17,Monday,Easter Monday,Observance
2037,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2037,albania,May 1,Monday,Labour Day/May Day,National holiday
2037,albania,Jun 18,Sunday,Fathers' Day,Observance
2037,albania,Jun 21,Wednesday,June Solstice,Season
2037,albania,Jun 26,Monday,End of Ramadan (Eid al-Fitr),National holiday
2037,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2037,albania,Sep 22,Friday,September equinox,Season
2037,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2037,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2037,albania,Oct 31,Tuesday,Halloween,Observance
2037,albania,Nov 28,Tuesday,Independence Day,National holiday
2037,albania,Nov 29,Wednesday,Liberation Day,National holiday
2037,albania,Dec 8,Friday,National Youth Day,National holiday
2037,albania,Dec 21,Thursday,December Solstice,Season
2037,albania,Dec 24,Sunday,Christmas Eve,Observance
2037,albania,Dec 25,Monday,Christmas Day,National holiday
2037,albania,Dec 31,Sunday,New Year's Eve,Observance
2038,albania,Date,Weekday,Holiday Name,Holiday Type
2038,albania
2038,albania,Jan 1,Sunday,New Year's Day,National holiday
2038,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2038,albania,Feb 14,Tuesday,Valentine's Day,Observance
2038,albania,Mar 8,Wednesday,Mothers' Day,Observance
2038,albania,Mar 14,Tuesday,Summer Day,National holiday
2038,albania,Mar 20,Monday,March equinox,Season
2038,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2038,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2038,albania,Apr 14,Friday,Good Friday,Observance
2038,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2038,albania,Apr 15,Saturday,Holy Saturday,Observance
2038,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2038,albania,Apr 16,Sunday,Easter Sunday,National holiday
2038,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2038,albania,Apr 17,Monday,Easter Monday,Observance
2038,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2038,albania,May 1,Monday,Labour Day/May Day,National holiday
2038,albania,Jun 18,Sunday,Fathers' Day,Observance
2038,albania,Jun 21,Wednesday,June Solstice,Season
